hour,exponential,tiered,linear
0,60.0,60.0,60.0
1,57.1,60.0,59.06
2,54.38,60.0,58.12
3,51.84,60.0,57.19
4,49.47,60.0,56.25
5,47.24,60.0,55.31
6,45.16,60.0,54.38
7,43.22,60.0,53.44
8,41.4,60.0,52.5
9,39.7,60.0,51.56
10,38.1,60.0,50.62
11,36.61,60.0,49.69
12,35.22,60.0,48.75
13,33.92,60.0,47.81
14,32.7,60.0,46.88
15,31.55,60.0,45.94
16,30.49,60.0,45.0
17,29.49,60.0,44.06
18,28.55,60.0,43.12
19,27.68,60.0,42.19
20,26.86,60.0,41.25
21,26.1,60.0,40.31
22,25.38,60.0,39.38
23,24.71,60.0,38.44
24,24.09,60.0,37.5
25,23.5,60.0,36.56
26,22.95,60.0,35.62
27,22.44,60.0,34.69
28,21.96,60.0,33.75
29,21.51,60.0,32.81
30,21.09,60.0,31.88
31,20.7,60.0,30.94
32,20.33,60.0,30.0
33,19.99,60.0,29.06
34,19.66,51.0,28.12
35,19.36,51.0,27.19
36,19.08,51.0,26.25
37,18.82,51.0,25.31
38,18.57,51.0,24.38
39,18.34,30.0,23.44
40,18.13,30.0,22.5
41,17.93,30.0,21.56
42,17.74,30.0,20.62
43,17.56,30.0,19.69
44,17.39,30.0,18.75
45,17.24,30.0,17.81
46,17.1,15.0,16.88
47,16.96,15.0,15.94
48,15.0,15.0,15.0
